STATE,TOTALPOP,MALE,FEMALE,UNDER18,OVER18,OVER65,ONERACE,WHITEALONE,BLACKALONE,AIANALONE,ASIANALONE,NHPIALONE,SORALONE,TWORACES,HISPANIC,NONHISPANIC,NHWHITE,NHBLACK,NHAIAN,NHASIAN,NHNHPI,NHSOR,NHTWORACES,HOUSINGUNITS,CVAP,CVAPMALE,CVAPFEMALE
Alabama,4876250,2359355,2516895,1096376,3779874,804881,4784030,3320247,1299048,25565,66270,2238,70662,92220,208626,4667624,3194929,1291524,22740,65410,1603,8083,83335,2255026,3685074,1749845,1935229
Alaska,737068,384915,352153,184394,552674,82583,676403,476015,24205,109751,45920,9204,11308,60665,51870,685198,446897,22857,106271,44917,9013,1679,53564,316901,530996,280398,250598
Arizona,7050299,3504509,3545790,1635344,5414955,1206748,6787262,5444453,317462,317414,233213,14458,460262,263037,2208663,4841636,3857007,297107,276396,226597,12878,10622,161029,3003286,4920449,2422769,2497680
Arkansas,2999370,1471760,1527610,704268,2295102,498778,2918833,2301044,459542,20434,45504,8733,83576,80537,224130,2775240,2172453,456899,17652,44927,8614,4858,69837,1370281,2207333,1064813,1142520
California,39283497,19526298,19757199,9022146,30261351,5486041,37360833,23453222,2274108,303998,5692423,155290,5481792,1922664,15327688,23955809,14605312,2169155,140831,5610931,140788,100119,1188673,14175976,25494383,12511445,12982938
Colorado,5610349,2823201,2787148,1261005,4349344,773706,5404625,4712574,233647,54847,178147,8643,216767,205724,1208172,4402177,3818321,221526,30393,174660,7618,10323,139336,2386475,4063877,2029222,2034655
Connecticut,3575074,1744245,1830829,743833,2831241,601053,3456074,2714031,383416,9955,161257,1123,186292,119000,574240,3000834,2392013,354120,5596,159989,754,11961,76401,1516629,2605409,1247280,1358129
Delaware,957248,462890,494358,203684,753564,174174,930169,658237,212302,3729,37009,542,18350,27079,88364,868884,596497,207402,2825,36656,330,2436,22738,433195,710280,337563,372717
District of Columbia,692683,328644,364039,123930,568753,83670,671238,285857,320811,2091,27592,376,34511,21445,76191,616492,253373,314774,1418,27188,307,2807,16625,315176,519267,241214,278053
Florida,20901636,10220813,10680823,4182462,16719174,4205428,20329615,15702256,3359031,59320,571276,12653,625079,572021,5346684,15554952,11266347,3202687,41989,559988,10389,73653,399899,9448159,14988415,7208765,7779650
Georgia,10403847,5062096,5341751,2505240,7898607,1406485,10137935,6098889,3289020,37440,414481,6233,291872,265912,992394,9411453,5485855,3244348,19382,410705,5164,32810,213189,4283477,7356558,3501020,3855538
Hawaii,1422094,713260,708834,304638,1117456,253606,1082367,354847,26025,3710,537355,142997,17433,339727,149118,1272976,312722,24377,2241,524609,133110,2175,273742,542674,1018390,516396,501994
Idaho,1717750,861025,856725,441147,1276603,264889,1667181,1545409,11918,23136,24287,2755,59676,50569,215476,1502274,1407883,11316,19027,23061,2341,1419,37227,723594,1220310,605247,615063
Illinois,12770631,6272172,6498459,2891526,9879105,1942534,12442185,9134903,1813590,33460,698524,4477,757231,328446,2186387,10584244,7829850,1783708,15108,692370,2908,20480,239820,5360315,9049960,4367958,4682002
Indiana,6665703,3284846,3380857,1572491,5093212,1023588,6495992,5553391,626587,15782,151979,2506,145747,169711,461850,6203853,5271071,616545,12348,150840,1981,10786,140282,2886548,4903144,2378740,2524404
Iowa,3139508,1558536,1580972,728737,2410771,525522,3072923,2826070,116359,11976,75741,3729,39048,66585,188311,2951197,2690052,113560,9251,75326,3359,3216,56433,1397087,2321084,1138212,1182872
Kansas,2910652,1450697,1459955,711070,2199582,449327,2810095,2455935,170291,24010,85794,2382,71683,100557,345680,2564972,2208576,164509,19236,84850,1939,2503,83359,1273297,2084736,1026399,1058337
Kentucky,4449052,2190922,2258130,1009306,3439746,710138,4348767,3868479,358928,9386,65191,3182,43601,100285,162994,4286058,3761855,353997,8156,64764,2667,6131,88488,1983949,3349115,1623302,1725813
Louisiana,4664362,2278986,2385376,1103350,3561012,698018,4569403,2892275,1502963,26361,80806,1406,65592,94959,239164,4425198,2735887,1492386,23892,80014,1088,9792,82139,2059918,3459488,1659463,1800025
