name,fips
Aleutians East Borough,013
Anchorage City Borough,020
Bristol Bay Borough,060
Denali Borough,068
Fairbanks North Star Borough,090
Haines City Borough,100
Juneau City Bureau,110
Kenai Peninsula Borough,122
Ketchikan Gateway Borough,130
Kodiak Island Borough,150
Lake and Peninsula Borough,164
Matanuska-Susitna Borough,170
North Slope Borough,185
Northwest Arctic Borough,188
Petersburg Borough,195
Sitka City Borough,220
Skagway City Borough,230
Wrangell City Borough,275
Yakutat,282
Aleutians West Census Area,016
Bethel Census Area,050
Chugach Census Area,063
Copper River Census Area,066
Dillingham Census Area,070
Hoonah–Angoon Census Area,105
Kusilvak Census Area,158
Nome Census Area,180
Prince of Wales-Hyder Census Area,198
Southeast Fairbanks Census Area,240
Yukon-Koyukuk Census Area,290
