name,fips
Adams,1
Antelope,3
Arthur,5
Banner,7
Blaine,9
Boone,11
Box Butte,13
Boyd,15
Brown,17
Buffalo,19
Burt,21
Butler,23
Cass,25
Cedar,27
Chase,29
Cherry,31
Cheyenne,33
Clay,35
Colfax,37
Cuming,39
Custer,41
Dakota,43
Dawes,45
Dawson,47
Deuel,49
Dixon,51
Dodge,53
Douglas,55
Dundy,57
Fillmore,59
Franklin,61
Frontier,63
Furnas,65
Gage,67
Garden,69
Garfield,71
Gosper,73
Grant,75
Greeley,77
Hall,79
Hamilton,81
Harlan,83
Hayes,85
Hitchcock,87
Holt,89
Hooker,91
Howard,93
Jefferson,95
Johnson,97
Kearney,99
Keith,101
Keya Paha,103
Kimball,105
Knox,107
Lancaster,109
Lincoln,111
Logan,113
Loup,115
Madison,119
McPherson,117
Merrick,121
Morrill,123
Nance,125
Nemaha,127
Nuckolls,129
Otoe,131
Pawnee,133
Perkins,135
Phelps,137
Pierce,139
Platte,141
Polk,143
Red Willow,145
Richardson,147
Rock,149
Saline,151
Sarpy,153
Saunders,155
Scotts Bluff,157
Seward,159
Sheridan,161
Sherman,163
Sioux,165
Stanton,167
Thayer,169
Thomas,171
Thurston,173
Valley,175
Washington,177
Wayne,179
Webster,181
Wheeler,183
York,185
