name,fips
Aurora,3
Beadle,5
Bennett,7
Bon Homme,9
Brookings,11
Brown,13
Brule,15
Buffalo,17
Butte,19
Campbell,21
Charles Mix,23
Clark,25
Clay,27
Codington,29
Corson,31
Custer,33
Davison,35
Day,37
Deuel,39
Dewey,41
Douglas,43
Edmunds,45
Fall River,47
Faulk,49
Grant,51
Gregory,53
Haakon,55
Hamlin,57
Hand,59
Hanson,61
Harding,63
Hughes,65
Hutchinson,67
Hyde,69
Jackson,71
Jerauld,73
Jones,75
Kingsbury,77
Lake,79
Lawrence,81
Lincoln,83
Lyman,85
Marshall,91
McCook,87
McPherson,89
Meade,93
Mellette,95
Miner,97
Minnehaha,99
Moody,101
Pennington,103
Perkins,105
Potter,107
Roberts,109
Sanborn,111
Shannon,113
Spink,115
Stanley,117
Sully,119
Todd,121
Tripp,123
Turner,125
Union,127
Walworth,129
Yankton,135
Ziebach,137
