name,fips
Adams County,001
Asotin County,003
Benton County,005
Chelan County,007
Clallam County,009
Clark County,011
Columbia County,013
Cowlitz County,015
Douglas County,017
Ferry County,019
Franklin County,021
Garfield County,023
Grant County,025
Grays Harbor County,027
Island County,029
Jefferson County,031
King County,033
Kitsap County,035
Kittitas County,037
Klickitat County,039
Lewis County,041
Lincoln County,043
Mason County,045
Okanogan County,047
Pacific County,049
Pend Oreille County,051
Pierce County,053
San Juan County,055
Skagit County,057
Skamania County,059
Snohomish County,061
Spokane County,063
Stevens County,065
Thurston County,067
Wahkiakum County,069
Walla Walla County,071
Whatcom County,073
Whitman County,075
Yakima County,077
